Date,price,returns,SMA_S,SMA_L,position,strategy,creturns,cstrategy
2010-02-24,27.579999923706055,0.006000527347741864,27.918100051879883,26.224800062179565,1,0.006000527347741864,1.2476815424044039,1.0202455249605402
2010-02-25,26.559999465942383,-0.03768456509823591,27.858200035095216,26.25072505950928,1,-0.03768456509823591,1.2015381142711101,0.9825134399217507
2010-02-26,26.360000610351562,-0.007558571711875782,27.795000038146974,26.271525058746338,1,-0.007558571711875782,1.1924904390966014,0.9751150375295021
2010-03-01,26.635000228881836,0.010378416173469684,27.737100028991698,26.29562505722046,1,0.010378416173469684,1.2049310463902059,0.9852878849170109
2010-03-02,26.649999618530273,0.0005629873355567065,27.685900039672852,26.316625051498413,1,0.0005629873355567065,1.205609598299686,0.9858427456932362
2010-03-03,26.96500015258789,0.011750598150136736,27.655400047302248,26.33905005455017,1,0.011750598150136736,1.2198597923997014,0.9974953158934351
2010-03-04,27.235000610351562,0.00996319879826694,27.630900077819824,26.36005005836487,1,0.00996319879826694,1.2320742444854287,1.0074832332078911
2010-03-05,27.350000381469727,0.004213609569498756,27.60610008239746,26.380200061798096,1,0.004213609569498756,1.237276677125087,1.0117373304587742
2010-03-08,27.229999542236328,-0.004397252941032088,27.57800006866455,26.39885005950928,1,-0.004397252941032088,1.2318480029917032,1.0072982325777713
2010-03-09,27.09000015258789,-0.005154628145031213,27.546900062561036,26.417600059509276,1,-0.005154628145031213,1.2255146217409623,1.0021193438474905
2010-03-10,27.100000381469727,0.00036908023239719446,27.51450008392334,26.434850063323974,1,0.00036908023239719446,1.225967018442565,1.002489274550663
2010-03-11,26.799999237060547,-0.011131882913108194,27.476100082397462,26.450825061798096,1,-0.011131882913108194,1.2123953762520296,0.9913915651266895
2010-03-12,26.674999237060547,-0.004675090462395455,27.432200050354005,26.46762505531311,1,-0.004675090462395455,1.2067405469107686,0.9867675371726339
2010-03-15,26.825000762939453,0.005607548371595624,27.391900062561035,26.48450005531311,1,0.005607548371595624,1.2135264111489603,0.9923164271631543
2010-03-16,26.850000381469727,0.0009315182041914884,27.35890007019043,26.495850057601928,1,0.0009315182041914884,1.214657359760043,0.993241218642552
2010-03-17,26.920000076293945,0.0026036724483139615,27.326900062561034,26.507900056838988,1,0.0026036724483139615,1.2178240503854136,0.9958306630076924
2010-03-18,26.975000381469727,0.0020410176751747625,27.30290008544922,26.518625059127807,1,0.0020410176751747625,1.2203121891013042,0.9978652465966077
2010-03-19,27.375,0.014719662850864098,27.28710006713867,26.53277505874634,1,0.014719662850864098,1.23840762573617,1.0126621219381722
2010-03-22,27.270000457763672,-0.003842974492821302,27.270600090026857,26.544725065231322,1,-0.003842974492821302,1.2336575897981141,1.0087779553904614
2010-03-23,27.649999618530273,0.013838500528126558,27.272100067138673,26.5593750667572,1,0.013838500528126558,1.2508482330297745,1.0228349693256809
2010-03-24,27.309999465942383,-0.0123727982417437,27.25560005187988,26.572475061416625,1,-0.0123727982417437,1.2354670903186766,1.0102576076460843
2010-03-25,27.399999618530273,0.003290083541545132,27.234800033569336,26.58675005912781,1,0.003290083541545132,1.2395385743472525,1.0135869134175697
2010-03-26,27.325000762939453,-0.0027409374882382577,27.211000061035158,26.602350063323975,1,-0.0027409374882382577,1.2361457285140047,1.0108125389793767
2010-03-29,27.385000228881836,0.002193364610078448,27.18740005493164,26.617825059890748,1,0.002193364610078448,1.2388600224377726,1.0130320526413445
2010-03-30,27.434999465942383,0.0018241244510384844,27.173200035095213,26.632775058746336,1,0.0018241244510384844,1.2411219196599377,1.01488163560014
2010-03-31,27.5,0.0023664536278752307,27.159000053405762,26.65000005722046,1,0.0023664536278752307,1.2440624550774309,1.0172861498922274
2010-04-01,27.649999618530273,0.005439709499444679,27.157000045776368,26.668675050735473,1,0.005439709499444679,1.2508482330297745,1.0228349693256809
2010-04-05,27.43000030517578,-0.007988398096837506,27.161900062561035,26.686000051498414,1,-0.007988398096837506,1.2408957644520604,1.0146967055270872
2010-04-06,27.145000457763672,-0.010444431854072343,27.16240005493164,26.69785005569458,1,-0.010444431854072343,1.228002760456853,1.004153927436406
2010-04-07,26.90999984741211,-0.008694925152550286,27.15710006713867,26.710375051498414,1,-0.008694925152550286,1.2173716536838108,0.9954607323045199
2010-04-08,26.8799991607666,-0.001115474635042376,27.15330005645752,26.72480004310608,1,-0.001115474635042376,1.216014463579003,0.9943509401950024
